Barragem_Nome,Barragem_Altura_AcimaNivelTerreno,Barragem_Capacidade,Barragem_Principal_Tipo_material,Barragem_Principal_comprimento,Uso_principal,Barragem_UF,Barragem_Municipio,Barragem_Categoria_Risco,Barragem_Dano_Potencial_Associado,TemPAE,TemPlanoSeguranca,TemRevisaoPeriodica,TemProjetoExecutivo,TemProjetoComo construido,TemProjetoBasico,TemProjetoConceitual,TemEclusa,Barragem_FasedeVida,ReguladaPNSB,Submetida à algum regulamento?,Houve alguma fiscalização no período deste RSB?
Barragem São Domingos_III,4.0,0.01564,terra,131.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Colorado,4.5,0.056,terra,75.0,aquicultura,AC,Capixaba,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Não
Barragem Monte Alegre_I,6.0,0.1824,terra,200.0,aquicultura,AC,Xapuri,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Monte Alegre_II,5.0,0.0384,terra,106.0,aquicultura,AC,Xapuri,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Peixe Boi_I,3.0,0.3891,terra,98.0,aquicultura,AC,Cruzeiro do Sul,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Peixe Boi_II,3.5,0.1545,terra,117.0,aquicultura,AC,Cruzeiro do Sul,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Peixe Boi_III,3.0,0.0675,terra,72.5,aquicultura,AC,Cruzeiro do Sul,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Peixe Boi_IV,3.0,0.06,terra,72.5,aquicultura,AC,Cruzeiro do Sul,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Peixe Boi_V,3.0,0.0912,terra,115.0,aquicultura,AC,Cruzeiro do Sul,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Peixe Boi_VI,7.0,0.08295,terra,78.0,aquicultura,AC,Cruzeiro do Sul,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Centrinho_I,7.0,0.25,terra,77.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Centrinho_II,8.0,0.2152,terra,107.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Centrinho_III,5.0,0.0884,terra,55.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Centrinho_VI,6.0,0.25,terra,78.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Boa Sorte_I,4.5,0.0362,terra,75.0,outros,AC,Senador Guiomard,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Boa Sorte_II,4.0,0.0578,terra,45.0,irrigação,AC,Senador Guiomard,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Monte Verde_I,3.5,0.075,terra,117.0,outros,AC,Plácido de Castro,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Monte Verde_II,3.0,0.03375,terra,68.0,outros,AC,Plácido de Castro,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Monte Verde_III,4.0,0.02085,terra,76.0,outros,AC,Plácido de Castro,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Campo Esperança_III,5.0,0.1512,terra,190.0,outros,AC,Plácido de Castro,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Alvorada_IV,4.0,0.01931,terra,79.0,aquicultura,AC,Brasiléia,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Alvorada_V,4.0,0.01232,terra,52.6,aquicultura,AC,Brasiléia,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Alvorada_VII,3.5,0.00748,terra,86.0,aquicultura,AC,Brasiléia,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Alvorada_VIII,5.0,0.02484,terra,81.5,aquicultura,AC,Brasiléia,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Alvorada_XIII,5.0,0.02664,terra,104.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Alvorada_XIX,6.0,0.1643,terra,134.0,aquicultura,AC,Brasiléia,médio,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem São Jorge_II,5.0,0.2295,terra,171.0,outros,AC,Senador Guiomard,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Barragem Vista Bonita_VI,3.0,0.0718,terra,107.0,outros,AC,Plácido de Castro,alto,baixo,não,não,não,não,não,não,não,não,operação,não,Sim,Sim
Antas,10.0,0.3,terra,260.0,abastecimento humano,BA,Antas,médio,médio,sim,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Arroz,3.0,1.84,terra,170.0,sem informação,BA,Piritiba,alto,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Baixão do Cecílio,6.0,0.37,terra,140.0,abastecimento humano,BA,Buritirama,médio,médio,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Brejinho Carlinhos,7.5,0.314,terra,165.0,irrigação,BA,Ibicoara,baixo,médio,sim,sim,não,sim,não,sim,sim,não,operação,sim,Sim,Não
Brejinho Saladino I ,8.56,0.08635,terra,175.77,irrigação,BA,Ibicoara,alto,médio,sim,sim,sim,sim,não,sim,sim,não,operação,sim,Sim,Não
Brejinho Saladino II ,5.0,0.110484,terra,165.0,irrigação,BA,Ibicoara,baixo,médio,sim,sim,não,sim,não,sim,sim,não,operação,sim,Sim,Não
