date,id,username,text,pm
2019-01-16 23:51:10+00:00,1085685927157075968,volvicviking,"@theresa_may should stand up an say, ya know what, screw you all, it’s hard Brexit. Change my mind..watch them meet with her.",may
2019-01-16 23:51:05+00:00,1085685903132000256,bendynaa,"Theresa May has survived as prime minister after weathering a dramatic no-confidence vote - slammed Corbyn for his unwillingness discuss #Brexit with her, adding, ""MPs know they have a duty to act in the national interest... and get this done.” https://www.theguardian.com/politics/live/2019/jan/16/brexit-vote-theresa-may-faces-no-confidence-vote-after-crushing-defeat",may
2019-01-16 23:51:03+00:00,1085685897268527104,TheScotsman,"Theresa May opened the door of 10 Downing Street to opposition leaders after winning a vote of no confidence in her government, offering high-level talks in a bid to salvage her Brexit deal ",may
2019-01-16 23:51:01+00:00,1085685888825376770,wusa9,"UK's Theresa May wins no-confidence vote, but is still beset by Brexit https://on.wusa9.com/2TOCqGS",may
2019-01-16 23:50:56+00:00,1085685869313474560,DavidBellavanc1,Brexit: Theresa May échappe de peu à une motion de censure :-http://rfi.my/3ZR1.T via @RFI,may
2019-01-16 23:50:56+00:00,1085685866792656896,LoudL,"Theresa May s'exprime sur le Brexit : ""Sortir le Royaume-Uni de l'Union européenne est mon devoir"" ",may
2019-01-16 23:50:08+00:00,1085685665914744832,forextrader755,"Pound May Extend Gains as PM May Survives No-Confidence Vote: The British Pound may rise if UK PM Theresa May survives a no-confidence vote, clearing away an obstacle along the way toward a second Brexit referendum.",may
2019-01-16 23:50:08+00:00,1085685663947616256,forextrader755,"GBP/USD, Stocks Up on Market Hopes for Second Brexit Referendum: GBP/USD, stocks rose after the markets welcomed UK Prime Minister Theresa May losing the vote on her Brexit deal. Nikkei 225 may gain with Asia stocks as Japanese Yen falls.",may
2019-01-16 23:50:06+00:00,1085685659048857602,BrookeHWatson,Theresa May survives vote to oust her after Brexit plan is crushed - NBC News ,may
2019-01-16 23:50:01+00:00,1085685638534356993,KontanNews,"Proposal Brexit Ditolak Parlemen, PM Theresa May Hadapi Mosi Kepercayaan http://internasional.kontan.co.id/news/proposal-brexit-ditolak-parlemen-pm-theresa-may-hadapi-mosi-kepercayaan #KemelutBrexit",may
2019-01-16 23:50:01+00:00,1085685638328774657,kontanonline,"Proposal Brexit Ditolak Parlemen, PM Theresa May Hadapi Mosi Kepercayaan http://internasional.kontan.co.id/news/proposal-brexit-ditolak-parlemen-pm-theresa-may-hadapi-mosi-kepercayaan #KemelutBrexit",may
2019-01-16 23:50:00+00:00,1085685633954258948,SCMPNews,"Labour’s serial rebel Jeremy Corbyn fails to topple British PM Theresa May, but is strengthened by Brexit debacle ",may
2019-01-16 23:49:51+00:00,1085685594120994816,beefqueen,2/2 Theresa May: “I want to reach out across parliament and create a consensus on #Brexit.” Everyone: “Will you go into your discussions with an open mind as to the solution?” Theresa May: “No.” #brexit #hypocrite,may
2019-01-16 23:49:38+00:00,1085685538542243840,PR610,Too many of the nation have no confidence in #TheresaMay and the architects of Brexit who lied deceived and used illegal funds to promote their cause... #JeremyCorbyn has handled the process just as badly as the PM #PeoplesVote,may
2019-01-16 23:49:24+00:00,1085685479670976513,JavierVecina,"Cada vez me gusta más #TheresaMay, porque insiste en cumplir lo que promete, el #Brexit, y ello a pesar de que la secta destructiva en que se ha convertido la #UE, donde falta democracia y se baila al son de Alemania, haga todo lo posible por, como toda secta, cerrarle la salida.",may
2019-01-16 23:49:13+00:00,1085685436532568064,neilbowers,".@theresa_may said earlier ""Overwhelmingly the British people want us to get on with delivering Brexit"". This is not true. A small margin voted for leave 2.5 years ago. All the indications are that the pendulum has swung back towards remain, but we've no idea by how much.",may
2019-01-16 23:49:13+00:00,1085685436092170245,portalmvd,Theresa May superó la moción de censura y busca un “plan B” para el brexit ,may
2019-01-16 23:49:10+00:00,1085685423949709312,beefqueen,Theresa May: “I want to reach out across parliament and create a consensus on #Brexit.” Everyone: “Will you speak to the leaders of the main political parties?” Theresa May: “No.” 1/2,may
2019-01-16 23:49:00+00:00,1085685382786830337,yuria2122,Britain's Brexit leader: How will history judge Theresa May? https://goo.gl/fb/eQj42G ::Al Jazeera,may
2019-01-16 23:48:57+00:00,1085685369759240192,ALuckyStudent,"Brexit : Theresa May sauve sa tête, et maintenant ? – https://www.lesechos.fr/monde/europe/0600527630985-brexit-les-differents-scenarios-possibles-apres-le-rejet-de-laccord-par-les-deputes-2236855.php#xtor=CS1-3046 via @LesEchos",may
2019-01-16 23:48:57+00:00,1085685366940712960,roseBthorny,“A Fight for the Soul of Britain”: Theresa May’s Brexit Deal Goes Down i... https://youtu.be/mFIlYq5fByE via @YouTube,may
2019-01-16 23:48:55+00:00,1085685360208896001,salvadorpastorb,Última hora sobre el 'brexit' y Theresa May | Directo ,may
2019-01-16 23:48:50+00:00,1085685340449452032,Celticanz,#brexit Very important poll about Theresa's listening skills: ,may
2019-01-16 23:48:50+00:00,1085685338281070592,Superbeans89,Theresa May sure does seem to be getting a lot of second chances with all this Brexit shite #NoConfidenceMotion,may
2019-01-16 23:48:47+00:00,1085685327816208384,enfield_greens,Brexit is a failure of leadership by Theresa May and by Jeremy Corbyn in showing opposition. We need a #PeoplesVoteNow https://www.facebook.com/enfieldgreenparty/posts/1977494612544484,may
2019-01-16 23:48:30+00:00,1085685253946179584,irish_news,Theresa May offers cross-party talks after surviving bid to oust her as prime minister #Brexit http://www.irishnews.com/news/brexit/2019/01/16/news/theresa-may-offers-cross-party-talks-after-surviving-bid-to-oust-her-as-prime-minister-1529882/,may
2019-01-16 23:48:21+00:00,1085685218340753408,santilogo,Analizamos la decisión del parlamento del #ReinoUnido de respaldar la gestión de la #primeraministra @theresa_may. Aun así el futuro del #Brexit es incierto. [Video] ,may
2019-01-16 23:48:20+00:00,1085685211063439360,benavu54,Theresa May survives no-confidence vote after Parliament rejects Brexit deal ,may
2019-01-16 23:48:14+00:00,1085685186782744576,pw_thunder,Only way out is deal with the eu. Both hard Brexit and peoples vote would cause even more division. Theresa needs to stop messing around and get everyone together and thrash this out and just get it done and dusted. Soft Brexit. Everyone is united in not wanting it. It’s perfect.,may
2019-01-16 23:48:13+00:00,1085685184144510978,Rick1cs,#Brexit #NoConfidenceMotion #TheresaMay #JeremyCorbyn,may
2019-01-16 23:48:09+00:00,1085685166498930688,davwain1,"(1/) Whether @realdonaldtrump does or doesn't give his 2nd #StateOfTheUnion address since becoming @potus, his @GOVUK counterpart @theresa_may (https://twitter.com/i/events/1085438476932141056) survived a #VoteofConfidence (#325to306) mere hours ago. She effectively has given multiple #brexit states of",may
2019-01-16 23:48:08+00:00,1085685162124414976,UrbanGl0,It really annoys me when @theresa_may bangs in about delivering what the people voted for in this #brexitmess. No one knew what leaving #eu meant &amp; just as many voted against Cameron’s #austerity and #brexit was result of a protest vote! Stop these delusions!,may
2019-01-16 23:48:04+00:00,1085685145745715200,PencilInnCt,"Yep, the man of the hour @Uni_of_Essex Chancellor; helping Parliament against an out of control executive (@theresa_may etc, #brexit) ",may
2019-01-16 23:47:52+00:00,1085685093673459714,rencontrespt,"Brexit : Theresa May, toujours debout... mais sans ""plan B"" https://www.rencontres-portugais.com/blog/brexit-theresa-may-toujours-debout-mais-sans-plan-b/",may
2019-01-16 23:47:49+00:00,1085685082608660480,messiejxssie,"I know brexit is important but can 1 news program not talk about it, We get it. Theresa May Deal Jeremy Corbin for prime minister Theresa May to stay prime minister Labour needs to change their head for an actual chance Theresa May has a lot of work to do ",may
2019-01-16 23:47:20+00:00,1085684961800323073,OSul_noticias,A Europa já se prepara para um cenário caótico após a #Saída do Reino Unido da União Europeia http://www.osul.com.br/a-europa-ja-se-prepara-para-um-cenario-caotico-apos-a-saida-do-reino-unido-da-uniao-europeia/ #Acordo #Brexit #CenárioCaótico #Derrota #PaísesEuropeus #ReinoUnido #TheresaMay #UniãoEuropeia,may
2019-01-16 23:47:11+00:00,1085684922096988160,CNNChile,"Theresa May quedó ""muy debilitada"", opina Paz Milet (@Pazmilet1), académica del @ieiuchile, respecto a las consecuencias del rechazo al Brexit en #MRCNN https://bit.ly/2NZdD0s",may
2019-01-16 23:46:52+00:00,1085684841998413824,DowntownFrank,Theresa May sticking to ‘red lines’ to keep her party happy. Jeremy Corbyn enabling ‘no deal’ Brexit in order to maintain support in Lab ‘leave’ marginals. No talk of ‘national interest’. Lamentable leadership from both of them.,may
2019-01-16 23:46:30+00:00,1085684753158807552,Jani_Proma,"CNN nails it - ""Another day of Brexit drama ends, and Theresa May is still more-or-less Prime Minister of the more-or-less United Kingdom of Great Britain and Northern Ireland."" #Brexit #CNN",may
2019-01-16 23:46:25+00:00,1085684728810881024,4h6r4kpf,Brexit: May calls on MPs from all parties to 'put self-interest aside' – Politics live | Politics | The Guardian https://www.theguardian.com/politics/live/2019/jan/16/brexit-vote-theresa-may-faces-no-confidence-vote-after-crushing-defeat,may
2019-01-16 23:46:18+00:00,1085684701233405952,trendingpress1,"What to Expect When You’re Expecting Brexit - http://trendingpress.com/what-to-expect-when-youre-expecting-brexit/ - Image A broker at the stock market in Frankfurt on Wednesday, the day after Prime Minister Theresa May lost the vote on her Brexit plan.CreditMichael Probst/Associated Press What’s going to happen with... ",may
2019-01-16 23:46:06+00:00,1085684650956259331,OPELGDL,#Brexit La extraña forma de bailar de #TheresaMay sería una de las causas por las que el #Brexit no tuvo éxito? ,may
2019-01-16 23:45:51+00:00,1085684588767260672,NTbrians4Europe,Layla Moran nails it. This statement defines #Brexit &amp; #TheresaMay. The true definition of insanity,may
2019-01-16 23:45:47+00:00,1085684572443037702,New_Narrative,Theresa May faces tough talks with opponents to get a new Brexit deal ,may
2019-01-16 23:45:44+00:00,1085684560636055552,trendingpress1,"Jeremy Corbyn Will Decide What Happens to Brexit (Whether He Wants to or Not) - http://trendingpress.com/jeremy-corbyn-will-decide-what-happens-to-brexit-whether-he-wants-to-or-not/ - LONDON — Within minutes after Prime Minister Theresa May’s plan for leaving the European Union was resoundingly defeated on Tuesday night, the leader of the opposition L...",may
2019-01-16 23:45:42+00:00,1085684549084946432,Noticias666,No confidence vote result: Theresa May wins confidence vote but is snubbed by Jeremy Corbyn over cross-party Brexit talks ,may
